"order_year","order_month","total_orders","revenue","late_shipments"
"2016","9","4","388.47","0"
"2016","10","401","76559.05","2"
"2016","12","1","19.62","0"
"2017","1","1035","190806.27","24"
"2017","2","2123","351848.13","64"
"2017","3","3243","547769.84","139"
"2017","4","2878","512126.52","167"
"2017","5","4485","737425.31","134"
"2017","6","3853","613777.41","112"
"2017","7","4949","749242.84","142"
"2017","8","5278","884168.36","140"
"2017","9","5186","1030141.97","221"
"2017","10","5683","1046083.41","208"
"2017","11","9191","1610581.21","1051"
"2017","12","6645","1060949.63","474"
"2018","1","8655","1425461.4","479"
"2018","2","8057","1327338.97","1084"
"2018","3","8615","1486669.64","1501"
"2018","4","8277","1500373.12","336"
"2018","5","8258","1512010.75","518"
"2018","6","7403","1299683.17","84"
"2018","7","7376","1362267.08","236"
"2018","8","7524","1248942.63","440"
"2018","9","16","4439.54","0"
"2018","10","4","589.67","0"
